POPRES_ID	Source	Gender	Country_Self	Country_Mother	Country_Father	Country_MGF	Country_MGM	Country_PGF	Country_PGM	PrimaryLanguage	Wave	ContOrig	Region	Cluster	tagGPconsens	tagGPnodiscord	tagGP2_2	groups3	groups4	exRelated	exPCAout	FourGPequal	exNotEuro	exThinSwissUK	exMix
45431	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
45560	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
45656	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
45698	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
45901	LOLIPOP	M	Ireland	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
46570	LOLIPOP	F	Cyprus	NA	NA	NA	NA	NA	NA	NA	2	European	South Europe	United Kingdom	Cyprus	Cyprus	Cyprus	EuropeESE	EuropeanESE	0	0	NA	0	0	0
46886	LOLIPOP	F	Poland	NA	NA	NA	NA	NA	NA	Polish	5	European	East Europe	United Kingdom	Poland	Poland	Poland	EuropeNE	EuropeNNE	0	0	NA	0	0	0
47545	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
48078	LOLIPOP	F	Ireland	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	Ireland	Ireland	Ireland	EuropeNW	EuropeNW	0	0	NA	0	0	0
48171	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
48414	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
48703	LOLIPOP	F	United Kingdom	NA	NA	NA	NA	NA	NA	English	5	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
48891	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
49319	LOLIPOP	M	United Kingdom	NA	NA	NA	NA	NA	NA	NA	2	European	North Europe	United Kingdom	United Kingdom	United Kingdom	United Kingdom	EuropeNW	EuropeNW	0	0	NA	0	0	0
49356	LOLIPOP	M	Poland	NA	NA	NA	NA	NA	NA	Polish	5	European	East Europe	United Kingdom	Poland	Poland	Poland	EuropeNE	EuropeNNE	0	0	NA	0	0	0
109	Lausanne	F	Italy	Italy	Italy	Italy	Italy	Italy	Italy	Italian	4	European	European	European	Italy	Italy	Italy	EuropeS	EuropeS	0	0	1	0	0	0
199	Lausanne	F	Italy	NA	NA	NA	NA	NA	NA	NA	3	European	European	European	Italy	Italy	Italy	EuropeS	EuropeS	0	0	NA	0	0	0
